Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2012-01-01,341672.66,138840.24000000002,506951.24,3005.06,5351.360000000001,859243.97,0.0,80815.31,2452.22,25888.5,28340.72,136325.29,78300.36,27849.47,26501.04,0.0,22023.18,22023.18,1088885.52,966.38,1089542.32,0.0,0.2,15850.25,3935.62,11914.63,859243.97,2.0,-175456.59,19.24,289810.64,24844.41,204409.85,0.0,14439.12,341672.66,153279.36,0.0,3865.52,2899.14,25888.5,230298.35,2899.14,-22022.980000000003,0.0,8298.43,522801.4900000001,522801.4900000001,54841.96,CAN MASO-COMERCIAL DE ALIMENTACION SL_resum
2013-01-01,320725.64,143041.49,501492.82,3005.06,9912.96,857318.2899999999,1985.94,76754.29,4222.55,32949.42,37171.97,108326.63,42039.429,33539.879,30789.32,0.0,25362.22,25362.22,1043981.93,1896.8,1043982.37,0.0,0.01,11627.7,2874.3700000000003,8753.33,857318.2899999999,2.0,-118702.79,23.088,316411.9,30534.82,153714.659,0.0,13827.57,320725.64,158855.0,0.0,7587.21,5690.41,32949.42,186664.079,5690.41,-25362.21,0.0,27894.5,513120.52,513120.52,67961.3,CAN MASO-COMERCIAL DE ALIMENTACION SL_resum
2014-01-01,301972.97000000003,145667.54,504094.61,3005.06,7071.01,855665.23,11673.67,45959.810000000005,4111.49,17752.649999999998,21864.14,110366.21,10658.48,36499.4,33329.8,0.0,13809.31,13809.31,1028010.26,986.51,1028045.8,0.0,2.69,7901.21,1813.12,6088.09,857665.23,2.0,-117186.63,26.936,347768.58900000004,33494.339,154627.919,0.0,16182.240000000002,301972.97000000003,173523.44999999998,0.0,3946.03,2959.52,17752.649999999998,172380.57,2959.52,-13806.619,0.0,27726.42,511995.82,511995.82,55196.63,CAN MASO-COMERCIAL DE ALIMENTACION SL_resum
2015-01-01,272030.8,147480.33,472091.19,3005.06,8853.57,900976.48,20939.460000000003,42080.1,5104.6,17991.27,23095.87,82156.20999999999,-23244.019,40248.37,32465.22,0.0,13031.72,13031.72,1078712.79,1249.66,1078713.52,0.0,39.08,21954.19,751.87,21202.32,900976.48,2.5,-122175.95,30.784,347854.88,37243.309,159745.77000000002,0.0,13346.42,272030.8,181766.21,0.0,4998.63,3748.97,17991.27,177737.04,3748.97,-12992.64,0.0,14164.15,494045.38,494045.38,55600.17,CAN MASO-COMERCIAL DE ALIMENTACION SL_resum
2016-01-01,246444.67,234158.83,540012.4,3005.06,9819.7,938203.01,22388.78,82601.40999999999,6084.110000000001,15702.26,21786.37,95356.21,-56201.209,43983.96,64872.56,0.0,11360.22,11360.22,1143814.27,1282.51,1143844.02,0.0,676.06,32059.34,874.0775,32059.34,938203.01,3.0,-118982.08,34.632,362054.779,40978.899,189938.749,0.0,25095.5,246444.67,281643.11,0.0,5018.1,3735.59,15702.26,205641.01,3735.59,-10684.16,0.0,28129.85,572071.74,572071.74,87334.98999999999,CAN MASO-COMERCIAL DE ALIMENTACION SL_resum
2017-01-01,229370.02,219312.38,495532.26,3005.06,11728.96,1514319.61,20504.47,44969.18,8323.42,15081.93,23405.35,105386.21,-68956.989,47389.5,127320.6,0.0,11195.78,11195.78,1803243.95,1187.0,1803247.95,0.0,706.39,41732.49,996.2850000000001,41694.01,1514319.61,4.0,-138202.38999999998,38.48,345176.87,44384.44,273846.41000000003,0.0,20688.38,229370.02,260505.23,0.0,4592.54,3405.54,15081.93,288928.33900000004,3405.54,-10489.39,0.0,33174.92,537264.75,537264.75,151432.34,CAN MASO-COMERCIAL DE ALIMENTACION SL_resum
2018-01-01,254649.69,232354.38,562715.9500000001,3005.06,18179.47,1299599.94,83805.08,87325.18000000001,13914.14,17227.88,31142.02,115586.21,-29442.989,51654.83,126154.41,0.0,12083.31,12083.31,1612656.15,1422.43,1612796.549,0.0,543.19,86114.73999999999,1118.4925,84022.54,1299599.94,5.0,-155900.18,2092.199,359804.56,48649.77,295968.73000000004,0.0,26366.71,254649.69,342526.17,0.0,5687.76,4265.33,17227.88,313196.609,4265.33,-11540.119,0.0,20314.15,648830.69,648830.69,157839.62,CAN MASO-COMERCIAL DE ALIMENTACION SL_resum
2019-01-01,212915.7,224211.12,584981.06,3005.06,22982.16,1599691.48,135570.919,157496.3,17625.27,22177.480000000003,39802.75,119047.21,52332.39,57011.72,151193.49,0.0,15245.89,15245.89,2000490.21,1785.63,2002505.08,0.0,210.93,76004.95999999999,1240.7,72672.06,1599691.48,5.0,-211817.36,2092.199,308437.55,54006.659,380636.12,0.0,31276.56,212915.7,391058.6,0.0,7142.52,5356.89,22177.480000000003,402813.6,5356.89,-15034.96,0.0,13046.19,660986.02,660986.02,191207.169,CAN MASO-COMERCIAL DE ALIMENTACION SL_resum
2020-01-01,289606.75,219655.04,617255.4,3005.06,28401.92,1480825.59,83390.17000000001,164541.34,18967.27,28021.49,46988.76,118597.57,63483.87,66446.369,123031.31,0.0,15465.46,15465.46,1840391.99,3144.88,1840391.99,0.0,23.5,73606.69,1453.65,70060.84,1480825.59,6.0,-189546.33,2092.199,334116.49000000005,63441.310000000005,331544.91000000003,0.0,31763.76,289606.75,334808.97000000003,0.0,12579.53,9434.65,28021.49,359566.39900000003,9434.65,-15441.96,0.0,27685.94,690862.09,690862.09,170043.569,CAN MASO-COMERCIAL DE ALIMENTACION SL_resum
2021-01-01,236016.25,336754.82,675411.39,3005.06,35741.53,1985785.73,55396.69,166292.04,20519.35,33124.07,53643.42,125174.1,-45288.679,81668.55,191924.99,0.0,12827.83,12827.83,2438964.99,5074.06,2449980.48,0.0,0.0,76833.93,10798.31,63943.42,1985785.73,7.0,-218626.34,2092.199,383945.25,78663.489,431070.68,0.0,42409.01,236016.25,434560.52,0.0,20296.24,15222.18,33124.07,464194.75,15222.18,-12827.83,0.0,69316.73,752245.3200000001,752245.3200000001,245568.409,CAN MASO-COMERCIAL DE ALIMENTACION SL_resum
2022-01-01,210158.08,668184.99,933126.73,3005.06,47877.18,3010168.26,128554.48,258978.15,32473.91,32436.25,64910.16,301940.18,-107266.66,97071.82,276263.92000000004,0.0,13629.51,13629.51,3650566.98,5881.22,3653154.94,0.0,2477.75,239185.7,24163.81,110999.58,3010168.26,9.0,-301812.6,104022.31,372208.399,94066.76,610550.429,0.0,68343.06,210158.08,865082.53,0.0,21284.49,15403.27,32436.25,642986.6799999999,15403.27,-11151.76,0.0,55922.55,1172312.43,1172312.43,343651.829,CAN MASO-COMERCIAL DE ALIMENTACION SL_resum
2023-01-01,157990.25,614677.55,1066471.08,3005.06,69156.18000000001,3439795.04,177704.09,305652.65,30693.25,74803.39,105496.64,399337.21,90312.31,135534.75,311024.62,0.0,25497.1,25497.1,4294267.149999999,13244.37,4294909.29,0.0,2401.01,109838.31,17529.309999999998,88216.8,3439795.04,10.0,-438592.9900000001,4092.2,361481.22,132529.69,780310.8600000001,0.0,90402.75,157990.25,882784.39,0.0,51707.3,38462.93,74803.39,855114.25,38462.93,-23096.089,0.0,49766.4,1176309.39,1176309.39,418922.269,CAN MASO-COMERCIAL DE ALIMENTACION SL_resum
