Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2009-01-01,189814.43,8216.299,141254.22,3005.06,16988.71,147448.97999999998,4414.92,16005.36,12258.75,11651.58,23910.33,102849.0,110638.061,-19970.43,47506.54,0.0,5431.38,5431.38,268621.51,1576.65,278074.55,0.0,86.41000000000001,78970.07,0.0,72791.8,135773.97999999998,3.0,-59208.7,6178.27,22399.86,-22975.49,118973.99,0.0,37749.07,189814.43,50380.28999999999,0.0,6306.610000000001,4729.959,11651.58,130625.569,4729.959,-5344.969999999999,0.0,20587.89,220224.29,220224.29,71503.28,JARDINERIA JOAN CASAS SL_resum
2010-01-01,198481.45,14536.25,153659.87999999998,3005.06,15179.28,127811.44,7183.120000000001,32154.04,13404.7,6272.0,19676.7,119699.0,137316.79,-18195.85,44881.350000000006,0.0,4020.81,4020.81,255090.03,591.53,255090.03,0.0,114.92,81018.70999999999,0.0,75431.97,128336.44,4.0,-62720.54,5586.74,1806.84,-21200.91,121006.59,0.0,32673.62,198481.45,54392.99,0.0,2366.11,1774.58,6272.0,127278.59,1774.58,-3905.89,0.0,0.0,234678.59,234678.59,64672.97,JARDINERIA JOAN CASAS SL_resum
2011-01-01,164515.11000000002,3776.62,165186.03,3005.06,22681.26,110121.79,7268.2,39124.75,12089.87,21238.53,33328.4,124900.0,160248.13,-7604.46,51318.3,0.0,5421.17,5421.17,261812.41,5261.360000000001,261812.41,0.0,35.39,63667.48,0.0,63342.1,117271.79,3.0,-67043.92,325.38,1161.28,-10609.52,130452.09,0.0,60898.04,164515.11000000002,71942.86,0.0,15852.75,10591.39,21238.53,151690.62,10591.39,-5385.78,0.0,0.0,228853.51,228853.51,84682.09,JARDINERIA JOAN CASAS SL_resum
2012-01-01,155988.87,15938.47,168165.47999999998,3005.06,11346.57,96591.41,8860.359999999999,17604.2,8965.06,9540.25,18505.309,149400.0,151065.73,-5222.95,52120.74,0.0,6476.120000000001,6476.120000000001,246970.96,978.83,246970.96,0.0,296.21,61273.69,0.0,61215.28,103591.41,3.0,-79753.5,58.41,1161.28,-8228.01,140839.3,0.0,53874.42,155988.87,78673.25,0.0,3360.34,2381.51,9540.25,150379.55,2381.51,-6179.91,0.0,0.0,229439.17,229439.17,70922.26,JARDINERIA JOAN CASAS SL_resum
2013-01-01,151459.84999999998,14053.67,165524.25,3005.06,18049.309,109699.61,10010.76,15254.82,12999.89,17445.17,30445.059,145400.0,146601.15,-173.53,73475.79,0.0,11649.77,11649.77,293191.37,1006.87,293191.37,0.0,260.89,50182.39,0.0,50123.98,107699.61,4.0,-79570.909,58.41,4869.429999999999,-3178.59,166046.59,0.0,40355.89,151459.84999999998,64420.32,0.0,6056.29,5049.42,17445.17,183491.76,5049.42,-11388.88,0.0,3142.3500000000004,215706.64,215706.64,104181.739,JARDINERIA JOAN CASAS SL_resum
2014-01-01,87975.14,13232.92,129520.36,3005.06,12053.18,163265.33,17343.59,19607.14,7998.84,19215.47,27214.31,107400.0,113774.22,3880.81,53368.5,0.0,14043.87,14043.87,318681.6,1351.45,318681.6,0.0,234.19,42183.55,0.0,42125.14,127265.33,3.0,-74833.45999999999,58.41,2513.22,875.75,136200.8,0.0,49271.45,87975.14,79847.95999999999,0.0,5405.79,4054.34,19215.47,155416.269,4054.34,-13809.68,0.0,1351.94,171703.91,171703.91,80817.0,JARDINERIA JOAN CASAS SL_resum
2015-01-01,20202.99,7994.84,115307.04,3005.06,14373.49,134150.26,21106.53,17903.760000000002,8609.34,21242.23,29851.57,97400.0,107308.92,9644.96,46905.62,0.0,14670.59,14670.59,281612.0,914.36,281612.0,0.0,106.87,33574.21,0.0,33515.8,119150.26,3.0,-70704.55,58.41,3.28,6639.9,126219.51,0.0,89931.93,20202.99,119033.3,0.0,6678.51,5764.150000000001,21242.23,147461.74000000002,5764.150000000001,-14563.72,0.0,0.0,148881.25,148881.25,76864.06,JARDINERIA JOAN CASAS SL_resum
2016-01-01,82080.63,8654.130000000001,158288.59,3005.06,11564.58,156975.6,19507.84,34648.340000000004,7628.59,22530.42,30159.01,83400.0,109394.209,13580.95,48651.3,0.0,17800.88,17800.88,314392.79000000004,1312.0,314392.79000000004,0.0,518.4499999999999,25945.62,0.0,25887.21,156975.6,3.0,-78606.87900000002,58.41,40240.25,10575.89,134886.77000000002,0.0,60410.66,82080.63,88572.63,0.0,5247.99,3935.99,22530.42,157417.18899999998,3935.99,-17282.43,0.0,0.0,184234.21,184234.21,79328.76,JARDINERIA JOAN CASAS SL_resum
2017-01-01,71686.53,5823.04,108061.38,3005.06,16157.39,148106.69,27339.07,32983.1,8339.84,27684.42,36024.259,75075.0,102235.06,21398.5,51360.25,0.0,19198.18,19198.18,316806.16,1400.36,316806.16,0.0,731.6700000000001,95634.52,0.0,28105.09,148106.69,3.0,-81314.959,67529.43,3.28,18393.44,141015.05,0.0,77448.76,71686.53,110610.87,0.0,9217.91,7817.55,27684.42,168699.46899999998,7817.55,-18466.51,0.0,0.0,203695.9,203695.9,88116.18000000001,JARDINERIA JOAN CASAS SL_resum
2018-01-01,137121.44,12872.64,164642.6,3005.06,15881.5,92468.23,112905.31,42380.34,9814.81,31766.91,41581.72,105775.0,135282.7,27465.19,91598.21,0.0,24717.87,24717.87,298732.63,1400.01,298732.63,0.0,417.66,152031.61000000002,0.0,84502.18000000001,98868.23,5.0,-73084.47,67529.43,16487.259,24460.129,174497.49,0.0,26309.63,137121.44,152087.58,0.0,7466.7,6066.6900000000005,31766.91,206264.4,6066.6900000000005,-24300.21,0.0,13074.48,316674.21,316674.21,133597.59,JARDINERIA JOAN CASAS SL_resum
2019-01-01,107677.82,7821.72,152850.97999999998,3005.06,10466.92,92699.07,110108.14,20817.59,7822.08,30925.28,38747.36,112775.0,125770.87,30110.03,98522.55,0.0,27718.29,27718.29,309780.3,880.3,309780.3,0.0,318.15000000000003,144209.53,0.0,76680.1,95499.07,5.0,-79811.32,67529.43,19258.39,27104.97,186155.949,0.0,41342.8,107677.82,159272.66,0.0,3525.14,2644.84,30925.28,217081.229,2644.84,-27400.14,0.0,15845.61,297060.51,297060.51,137588.06,JARDINERIA JOAN CASAS SL_resum
2020-01-01,192406.97,31074.09,224594.79,3005.06,10272.56,88036.45999999999,69943.9,49712.27,8177.1,21464.64,29641.739,149775.0,168413.18,32205.49,119468.86,0.0,21794.11,21794.11,309315.98000000004,483.57,309315.98000000004,0.0,2908.5,158676.23,0.0,91146.8,88036.45999999999,7.0,-72168.92,67529.43,25107.52,29200.43,199814.88,0.0,57640.57,192406.97,158658.56,0.0,2579.03,2095.46,21464.64,221279.519,2095.46,-18885.61,0.0,1694.74,383271.02,383271.02,152019.1,JARDINERIA JOAN CASAS SL_resum
2021-01-01,185445.36,14693.4,216477.93,3005.06,9885.91,196857.01,94747.47,46434.380000000005,8322.83,12600.04,20922.87,163275.0,195015.98,33768.57,133264.65,0.0,17177.41,17177.41,417234.7,360.71,417234.7,0.0,6501.160000000001,155764.41999999998,0.0,88234.98999999999,198857.01,6.0,-66190.17000000001,67529.43,6768.55,30763.51,207777.65,0.0,43587.55,185445.36,153028.41999999998,0.0,1923.79,1563.08,12600.04,220377.69,1563.08,-10676.25,0.0,3339.52,372242.35,372242.35,160688.68,JARDINERIA JOAN CASAS SL_resum
2022-01-01,120893.1,17570.440000000002,169495.18,3005.06,11747.29,135088.729,105294.13,44384.87,8794.16,21621.91,30416.07,115275.0,142089.43,36721.7,67766.84,0.0,20565.64,20565.64,282064.65,681.49,282064.65,0.0,2578.3500000000004,146970.26,0.0,79440.83,127088.73,3.0,-48793.01,67529.43,9835.31,33716.64,125354.01,0.0,35986.07,120893.1,158850.64,0.0,3634.62,2953.13,21621.91,146975.91999999998,2953.13,-17987.29,0.0,6422.53,316465.44,316465.44,100761.26,JARDINERIA JOAN CASAS SL_resum
2023-01-01,41903.84,52814.22,128373.37,3005.06,11655.84,192727.99,84561.57,35359.71,7579.68,27611.92,35191.6,49000.0,31545.489,40797.86,57274.07,0.0,22578.75,22578.75,332934.92000000004,1228.8,332934.92000000004,0.0,271.79,139390.58,0.0,71861.15000000001,174527.99,3.0,-47741.259,67529.43,44013.66,37792.8,112595.01,0.0,47686.46,41903.84,185062.25,0.0,5304.96,4076.16,27611.92,140206.93,4076.16,-22306.960000000003,0.0,11422.8,267763.95,267763.95,92737.459,JARDINERIA JOAN CASAS SL_resum
