Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2013-01-01,561901.7799999999,218.68,160999.36,1900000.0,-92180.38,0.0,0.0,132165.25,22152.15,-143727.71000000002,-121575.56,0.0,131946.57,2969860.46,315125.15,0.0,20655.77,20655.77,254378.04,-48999.65,254378.04,0.0,1051.3,3896143.74,0.0,1292978.1800000002,0.0,4.0,-60828.45,2603165.559,28834.11,1069860.46,398105.75,0.0,525162.1789999999,561901.7799999999,525380.8600000001,0.0,-163332.18,-114332.53,-143727.71000000002,254378.04,-114332.53,-19604.47,0.0,4743.09,4057143.1,4057143.1,194600.89,HIPER MONTSERRAT SL_resum
2014-01-01,495202.55,0.0,267780.8,1900000.0,-129551.0,0.0,0.0,21614.99,24857.21,-201610.4,-176753.19,0.0,21614.99,2815452.25,316094.39,0.0,18359.3,18359.3,182924.76,-64637.59,182924.76,0.0,923.9,3908525.76,0.0,1323895.33,0.0,4.0,-43583.56,2584630.429,246165.81,915452.25,384535.16,0.0,865651.76,495202.55,865651.76,0.0,-219045.8,-154408.21000000002,-201610.4,182924.76,-154408.21000000002,-17435.398999999998,0.0,102228.32,4176306.56,4176306.56,140265.1,HIPER MONTSERRAT SL_resum
2015-01-01,1058667.21,123.79,51283.01,1900000.0,-3015.02,0.0,0.0,49956.545,10034.54,6883.150000000001,16917.69,0.0,-123.79,2742613.86,356922.26,0.0,25659.12,18022.03,398924.76,-5035.660000000001,398924.76,0.0,690.75,3849159.02,0.0,1584635.07,0.0,4.0,-25084.809,2264523.95,51283.01,842613.859,392041.61,0.0,99037.17,1058667.21,99160.96,0.0,-18085.22,-13049.56,6883.150000000001,398924.76,-13049.56,-24968.37,0.0,12965.61,3900442.03,3900442.03,366893.61,HIPER MONTSERRAT SL_resum
2016-01-01,1167881.21,0.0,119198.09,1900000.0,-13464.279,0.0,0.0,78298.1,62434.350000000006,-85668.87000000001,-23234.519,0.0,78298.1,2666715.32,393191.94,0.0,15529.31,15529.31,426060.48,-25299.55,426060.48,0.0,0.0,3791952.82,0.0,1527851.95,0.0,4.0,-56103.06,2264100.87,40899.99,766715.3200000001,511729.35,0.0,76554.38,1167881.21,76554.38,0.0,-101198.18,-75898.62900000002,-85668.87000000001,426060.48,-75898.62900000002,-15529.31,0.0,11945.12,3911150.91,3911150.91,369957.42,HIPER MONTSERRAT SL_resum
2017-01-01,1238234.55,0.0,172017.94,1900000.0,-17504.049,0.0,0.0,137803.59,62434.350000000006,-96739.63,-34305.28,0.0,137803.59,2586776.92,405733.74,0.0,9844.91,9844.91,423906.06,-26646.14,423906.06,0.0,0.0,3729095.39,0.0,1465417.6,0.0,4.0,-52477.6,2263677.79,34214.350000000006,686776.92,520645.69,0.0,76101.86,1238234.55,76101.86,0.0,-106584.54,-79938.4,-96739.63,423906.06,-79938.4,-9844.91,0.0,20185.11,3901113.33,3901113.33,371428.459,HIPER MONTSERRAT SL_resum
2018-01-01,1221198.3,0.0,185027.33,1900000.0,19791.4,0.0,0.0,59111.65,62434.350000000006,-56857.27,5577.08,0.0,59111.65,2544133.97,415227.2,0.0,0.0,8232.385,474796.38,-14214.32,474796.38,0.0,0.0,3666237.96,0.0,2578653.49,0.0,4.0,-53992.1,1087584.47,125915.68,644133.97,531653.65,0.0,85933.02,1221198.3,85933.02,0.0,-56857.27,-42642.95,-56857.27,474796.38,-42642.95,0.0,0.0,72379.07,3851265.29,3851265.29,420804.279,HIPER MONTSERRAT SL_resum
2019-01-01,1164654.6800000002,0.0,104931.36,1900000.0,-4839.17,0.0,0.0,59024.3,62434.350000000006,-89698.03,-27263.68,0.0,59024.3,2476860.45,511838.46,0.0,0.0,6619.860000000001,507191.4,-22424.51,507191.4,0.0,0.0,3614713.47,0.0,2516219.14,0.0,5.0,-22616.62,1098494.329,45907.06,576860.4500000001,596889.429,0.0,78129.7,1164654.6800000002,78129.7,0.0,-89698.03,-67273.52,-89698.03,507191.4,-67273.52,0.0,0.0,45907.06,3719644.83,3719644.83,484574.78,HIPER MONTSERRAT SL_resum
2020-01-01,1228966.81,0.0,115343.7,1900000.0,-32281.53,0.0,0.0,46079.810000000005,62434.350000000006,-126287.84,-63853.49,0.0,46079.810000000005,2382144.57,549861.38,0.0,0.0,5007.335,114666.6,-31571.960000000003,541803.2,0.0,0.0,3672902.67,0.0,2453784.79,0.0,5.0,-55795.310000000005,1219117.88,69263.89,482144.569,668091.04,0.0,177134.99,1228966.81,177134.99,0.0,-126287.84,-94715.88,-126287.84,541803.2,-94715.88,0.0,0.0,69263.89,3788246.37,3788246.37,486007.89,HIPER MONTSERRAT SL_resum
2021-01-01,1398966.81,0.0,192716.11,1900000.0,-60072.379,0.0,0.0,87451.93999999999,62412.01,-163312.52,-100900.509,0.0,87451.93999999999,2259660.18,560215.15,0.0,0.0,3394.8100000000004,114666.6,-40828.13,548006.6,0.0,0.0,3556096.08,0.0,2391372.7800000003,0.0,5.0,-88691.959,1164723.3,105264.17,359660.179,711319.12,0.0,90185.2,1398966.81,90185.2,0.0,-163312.52,-122484.389,-163312.52,548006.6,-122484.389,0.0,0.0,105264.17,3748812.19,3748812.19,459314.64,HIPER MONTSERRAT SL_resum
2022-01-01,1228966.81,0.0,115561.03,1900000.0,75755.01,0.0,0.0,9905.8,51703.350000000006,32068.88,83772.23,0.0,9905.8,2242724.2,589578.3300000001,0.0,0.0,1782.2850000000008,120000.0,8017.22,763900.3200000001,0.0,0.0,3470551.59,0.0,2339669.43,0.0,5.0,-90549.76,1130882.16,105655.23,342724.199,731831.4400000001,0.0,114421.61,1228966.81,114421.61,0.0,32068.88,24051.66,32068.88,763900.3200000001,24051.66,0.0,0.0,50034.51,3586112.62,3586112.62,673350.559,HIPER MONTSERRAT SL_resum
2023-01-01,1450966.81,0.0,332325.24,1900000.0,82192.25,0.0,0.0,9905.8,87098.0,-6371.24,80726.76,0.0,9905.8,2237818.45,650013.9,0.0,169.76,169.76,155000.0,-1635.25,852992.02,0.0,0.0,3614650.98,0.0,2483197.99,0.0,5.0,-122251.359,1131452.99,332325.24,337818.45,859363.26,0.0,258190.96,1450966.81,258190.96,0.0,-6541.0,-4905.75,-6371.24,852992.02,-4905.75,-169.76,0.0,90882.78,3946976.22,3946976.22,730740.66,HIPER MONTSERRAT SL_resum
